Zip,Territory,Region
35801,AL HUNTSVILLE,CENTRAL
20735,MD BETHESDA SOUTH,EAST
30043,GA ATLANTA NORTH,SOUTH
35244,AL BIRMINGHAM,SOUTH
72712,OK OKLAHOMA CITY,CENTRAL
36067,AL BIRMINGHAM,SOUTH
11553,NY LONG ISLAND WEST,NORTH
91770,CA LOS ANGELES NORTH,WEST
1501,CT HARTFORD,EAST
80233,CO SOUTH,WEST
28801,SC GREENVILLE,SOUTH
45219,KY LOUISVILLE,EAST
7306,NJ NORTHERN,NORTH
11222,NY QUEENS,NORTH
35010,AL BIRMINGHAM,SOUTH
38111,TN NASHVILLE,CENTRAL
92504,CA RIVERSIDE,WEST
20715,MD BETHESDA SOUTH,EAST
29485,FL JACKSONVILLE,SOUTH
19013,PA PHILADELPHIA SOUTH,NORTH
27713,NC RALEIGH,EAST
92025,CA SAN DIEGO,WEST
85210,AZ ARIZONA,WEST
37040,TN NASHVILLE,CENTRAL
10523,NY BRONX,NORTH
21217,MD BETHESDA SOUTH,EAST
30052,GA ATLANTA SOUTH,SOUTH
29640,SC GREENVILLE,SOUTH
28704,SC GREENVILLE,SOUTH
92253,CA RIVERSIDE,WEST
28203,NC CHARLOTTE,SOUTH
77058,TX HOUSTON NORTH,CENTRAL
90623,CA IRVINE,WEST
2886,CT HARTFORD,EAST
72764,OK OKLAHOMA CITY,CENTRAL
31088,GA ATLANTA SOUTH,SOUTH
11725,NY LONG ISLAND EAST,NORTH
32117,FL ORLANDO,SOUTH
27006,NC RALEIGH,EAST
21401,MD BETHESDA SOUTH,EAST
90815,CA LONG BEACH,WEST
92128,CA SAN DIEGO,WEST
39581,LA NEW ORLEANS,SOUTH
2130,CT HARTFORD,EAST
10003,NY MANHATTAN,NORTH
35404,AL BIRMINGHAM,SOUTH
44130,PA PITTSBURGH,EAST
48183,MI DETROIT,EAST
44011,PA PITTSBURGH,EAST
10032,NY BRONX,NORTH
71106,TX DALLAS,CENTRAL
44106,PA PITTSBURGH,EAST
95130,CA SAN JOSE,WEST
20002,MD BETHESDA SOUTH,EAST
28472,NC WILMINGTON,EAST
35022,AL BIRMINGHAM,SOUTH
73120,OK OKLAHOMA CITY,CENTRAL
78738,TX AUSTIN,CENTRAL
85013,AZ ARIZONA,WEST
11215,NY BROOKLYN,NORTH
6040,CT HARTFORD,EAST
72956,OK OKLAHOMA CITY,CENTRAL
95969,CA SACRAMENTO,WEST
74820,OK OKLAHOMA CITY,CENTRAL
70127,LA NEW ORLEANS,SOUTH
46112,IN INDIANAPOLIS NORTH,EAST
27376,NC WILMINGTON,EAST
92243,CA SAN DIEGO,WEST
94589,CA SAN FRANCISCO EAST,WEST
27262,NC RALEIGH,EAST
